"compiler","mode","order","comparison","a","b","b_lo","b_hi","ratio_at_max_n","crossover_log2n","first_n_below_1_every_session"
"gcc","tput","shuffled","Exp 4: 16-key fusion vs 16-key B-tree",6.20464796372924,-0.170081107042236,-0.216851025946696,-0.123311188137777,2.10630105342075,30.6009765237285,NA
"gcc","lat","blocked","Exp 4: 16-key fusion vs 8-key fusion",1.11966919878973,-0.00974178721366682,-0.0165253224220771,-0.00295825200525651,0.986141957887604,NA,256
"gcc","tput","blocked","Exp 4: 16-key fusion vs 8-key fusion",1.08346185822139,-0.011576867732694,-0.0206401426538295,-0.00251359281155846,0.903535301869983,NA,256
"clang","lat","shuffled","Exp 4: 16-key fusion vs 8-key fusion",1.06931252368821,-0.00520568653956525,-0.0125777084929144,0.0021663354137839,1.06650904419386,NA,256
"gcc","lat","shuffled","Exp 4: 16-key fusion vs 8-key fusion",1.07337015572133,-0.00682211830529845,-0.0136151046384468,-2.91319721501355e-05,1.03466150972886,10.7547469038087,256
"clang","tput","shuffled","Exp 4: 16-key fusion vs 8-key fusion",0.938461817279042,-0.00350199558908543,-0.0115041849797533,0.00450019380158241,1.03828992624356,NA,256
"gcc","tput","shuffled","Exp 4: 16-key fusion vs 8-key fusion",1.01942516003405,-0.00922535982272604,-0.016641901455763,-0.00180881818968903,0.947888929539433,NA,256
"gcc","lat","blocked","Exp 4: 16-key fusion vs best B-tree",3.50558399997606,-0.0751647333633737,-0.0886077539336916,-0.0617217127930558,1.52322852557332,33.3345691238357,NA
"gcc","tput","blocked","Exp 4: 16-key fusion vs best B-tree",6.53354665237165,-0.134816098509337,-0.176716140693462,-0.0929160563252116,3.58113436127374,41.0451475273067,NA
"clang","lat","shuffled","Exp 4: 16-key fusion vs best B-tree",3.31764312410469,-0.0813682933721097,-0.0924136059045851,-0.0703229808396342,1.37579358154063,28.483368988775,NA
"gcc","lat","shuffled","Exp 4: 16-key fusion vs best B-tree",3.71676222635767,-0.100111913864089,-0.111567099382369,-0.0886567283458096,1.35865199840598,27.1372519163495,NA
"clang","tput","shuffled","Exp 4: 16-key fusion vs best B-tree",5.49701087322086,-0.0925938405572148,-0.132106866916429,-0.053080814198001,4.16250890341348,48.5670628430419,NA
"gcc","tput","shuffled","Exp 4: 16-key fusion vs best B-tree",6.73084116769164,-0.180927577825461,-0.216932948022109,-0.144922207628814,2.97024170958662,31.6747796912426,NA
"gcc","lat","blocked","original fusion vs binary search",4.83818837120089,-0.177692345068619,-0.191078601675586,-0.164306088461653,0.357827615622321,NA,4194304
"gcc","tput","blocked","original fusion vs binary search",12.1219902025006,-0.473275774864231,-0.502406793964599,-0.444144755763863,0.699793157130116,NA,16777216
"clang","lat","shuffled","original fusion vs binary search",2.13044864481616,-0.0449987650671658,-0.0643778077433655,-0.0256197223909661,0.496596021177069,NA,8388608
"gcc","lat","shuffled","original fusion vs binary search",4.95479905574404,-0.178361405679383,-0.195142202162962,-0.161580609195804,0.40127092784533,NA,4194304
"clang","tput","shuffled","original fusion vs binary search",1.72424733765905,-0.0227463724532071,-0.0392808683923215,-0.00621187651409277,0.705044008015428,NA,16777216
"gcc","tput","shuffled","original fusion vs binary search",12.4086001671156,-0.475353281116688,-0.507399395103078,-0.443307167130298,0.785505428668323,NA,16777216
"gcc","lat","blocked","original fusion vs branch-free B-tree",2.17513495469382,-0.0239199393218214,-0.0315656740795581,-0.0162742045640846,1.33972152054789,49.1278401204714,NA
"gcc","tput","blocked","original fusion vs branch-free B-tree",2.78894320415146,0.0277138754465853,-0.000912877649679154,0.0563406285428497,3.42318441052442,NA,NA
"clang","lat","shuffled","original fusion vs branch-free B-tree",2.20486686038318,-0.0376174240886352,-0.0439902043028455,-0.031244643874425,1.19489985565615,32.029488716299,NA
"gcc","lat","shuffled","original fusion vs branch-free B-tree",2.40562917405146,-0.0455816959084874,-0.0529650694222852,-0.0381983223946895,1.21737861104444,30.8375795598629,NA
"clang","tput","shuffled","original fusion vs branch-free B-tree",2.3349567104565,0.0573558244290694,0.0332246493192734,0.0814869995388654,3.83335764081762,NA,NA
"gcc","tput","shuffled","original fusion vs branch-free B-tree",3.18734328783354,-0.0132074253146804,-0.0379503843132968,0.0115355336839361,3.06106865059491,NA,NA
