"candidate","mode","keys","n","sessions","candidate_ns","best_splus_ns","ratio_median","ratio_min","ratio_max","beats_splus"
"spline32","tput","clustered",1024,3,13.7329,4.1977,3.32085828343313,2.68447006694142,3.33330906089954,FALSE
"spline32","tput","clustered",2048,3,14.0091,4.1962,3.32605693519079,3.31922001611145,3.34216672227253,FALSE
"spline32","tput","clustered",4096,3,13.9969,4.2252,3.31130325874901,3.26384137401382,3.31271892454795,FALSE
"spline32","tput","clustered",8192,3,14.1708,5.8624,2.38710778790672,2.38498218139838,2.41723526200873,FALSE
"spline32","tput","clustered",16384,3,14.6637,6.0913,2.40731863477419,2.40670289855072,2.41209963244946,FALSE
"spline32","tput","clustered",32768,3,15.0986,6.2637,2.4104922010952,2.39670259987318,2.41316627803869,FALSE
"spline32","tput","clustered",65536,3,15.9195,7.9941,1.9990155592774,1.99140616204451,2.13551868878673,FALSE
"spline32","tput","clustered",131072,3,17.5308,10.2646,1.70788925043353,1.64795769479055,1.76437366813281,FALSE
"spline32","tput","clustered",262144,3,22.7036,14.4913,1.56670554056572,1.35433493613381,1.9807998224261,FALSE
"spline32","tput","clustered",524288,3,27.6932,27.7054,0.999559652630895,0.859497804301317,1.11529071538597,FALSE
"spline32","tput","clustered",1048576,3,39.4409,43.4326,0.900639517426514,0.82742304733481,0.908094380718631,TRUE
"spline32","tput","clustered",2097152,3,49.7467,54.2023,0.917796846259291,0.877249994843225,0.926884529700958,TRUE
"spline32","tput","clustered",4194304,3,65.2939,65.2771,1.00032976803746,1.00025736437434,1.04526064954238,FALSE
"spline32","tput","clustered",8388608,3,89.7964,79.3839,1.13116639520104,1.12596436408679,1.14228798094805,FALSE
"spline32","tput","clustered",16777216,3,102.6611,91.3437,1.12363195272361,1.11355152237695,1.13159220349483,FALSE
"spline32","tput","clustered",33554432,3,129.4861,107.1121,1.20888396362316,1.19090341435114,1.24755880892422,FALSE
"spline32","tput","uniform",256,3,13.916,2.8854,4.82290150412421,4.77226502311248,4.83748934356351,FALSE
