"compiler","mode","order","comparison","a","b","b_lo","b_hi","ratio_at_max_n","crossover_log2n","first_n_below_1_every_session"
"clang","lat","shuffled","equal footprint: compact fusion vs aligned B-tree",1.87950030731065,-0.0301073301623723,-0.0352030622723628,-0.0250115980523818,1.13957280005078,29.2121653619701,NA
"gcc","lat","shuffled","equal footprint: compact fusion vs aligned B-tree",2.21598689118168,-0.0443582058302028,-0.0498027182588071,-0.0389136934015986,1.14223047504226,27.4128961806144,NA
"clang","tput","shuffled","equal footprint: compact fusion vs aligned B-tree",2.23144676966238,0.0161272989685508,-0.00187000209094942,0.0341246000280511,2.78111399556621,NA,NA
"gcc","tput","shuffled","equal footprint: compact fusion vs aligned B-tree",3.2286704828042,-0.0917176957510597,-0.102800751281855,-0.0806346402202641,1.1576180259927,24.2992419789225,NA
"gcc","lat","blocked","Exp 4: 16-key fusion vs 16-key B-tree",2.8659066626186,-0.0646011306300823,-0.0744446025270143,-0.0547576587331502,1.27571376890377,28.8834985459174,NA
"gcc","tput","blocked","Exp 4: 16-key fusion vs 16-key B-tree",3.15829365306388,-0.0915853866156706,-0.108724531767465,-0.0744462414638761,1.03237463052242,23.5659173675922,NA
"clang","lat","shuffled","Exp 4: 16-key fusion vs 16-key B-tree",2.25588050078285,-0.0462094403892313,-0.0531088123560976,-0.039310068422365,1.20603434884614,27.1780071388945,NA
"gcc","lat","shuffled","Exp 4: 16-key fusion vs 16-key B-tree",2.88462741470431,-0.0733383751905951,-0.0822351980887402,-0.06444155229245,1.20054164797527,25.697697962444,NA
"clang","tput","shuffled","Exp 4: 16-key fusion vs 16-key B-tree",3.92682202656049,-0.0796978183867362,-0.114116859751527,-0.0452787770219458,2.30972823372648,36.7239917704898,NA
"gcc","tput","shuffled","Exp 4: 16-key fusion vs 16-key B-tree",3.00954781110473,-0.0870103734688444,-0.0992652775706751,-0.0747554693670137,1.03116724040996,23.0954969044499,NA
"gcc","lat","blocked","Exp 4: 16-key fusion vs 8-key fusion",1.1274722024236,-0.0087773283100037,-0.0163912908159529,-0.00116336580405453,1.0330756570546,14.5228932906978,256
"gcc","tput","blocked","Exp 4: 16-key fusion vs 8-key fusion",1.12759363898717,-0.0121037684050673,-0.0226609579519213,-0.00154657885821335,0.981722492714494,NA,256
"clang","lat","shuffled","Exp 4: 16-key fusion vs 8-key fusion",1.05439930959746,-0.00496392367303887,-0.0120743090288289,0.00214646168275116,1.05897281742242,NA,256
"gcc","lat","shuffled","Exp 4: 16-key fusion vs 8-key fusion",1.10865610331316,-0.00805288213832069,-0.0148153005237685,-0.00129046375287282,1.04694375436415,13.492821755842,256
"clang","tput","shuffled","Exp 4: 16-key fusion vs 8-key fusion",0.994868868826413,-0.00884780070636911,-0.0168748794967093,-0.000820721916028892,1.00714813498473,-0.579932951009308,256
"gcc","tput","shuffled","Exp 4: 16-key fusion vs 8-key fusion",1.04701886075637,-0.00898053007511448,-0.0171890929496281,-0.000771967200600828,0.967359395970421,NA,256
"gcc","lat","blocked","Exp 4: 16-key fusion vs best B-tree",2.80507298486514,-0.0522797914198148,-0.0628391182099088,-0.0417204646297208,1.49903691455802,34.5271650066489,NA
"gcc","tput","blocked","Exp 4: 16-key fusion vs best B-tree",3.39622368249696,-0.0849096935271875,-0.106303018470851,-0.0635163685835243,1.29340742247709,28.2208495044174,NA
"clang","lat","shuffled","Exp 4: 16-key fusion vs best B-tree",2.48235598199992,-0.0462755523451147,-0.0581009534262272,-0.0344501512640022,1.36951529075449,32.0332423251218,NA
"gcc","lat","shuffled","Exp 4: 16-key fusion vs best B-tree",2.90062180064005,-0.0648390310514284,-0.0753053553460008,-0.054372706756856,1.35160542950902,29.3129272572339,NA
"clang","tput","shuffled","Exp 4: 16-key fusion vs best B-tree",4.18715641744813,-0.0779044597143571,-0.106251476022369,-0.0495574434063448,3.09534618723388,40.9110907017916,NA
"gcc","tput","shuffled","Exp 4: 16-key fusion vs best B-tree",3.34560658270899,-0.0905703753773689,-0.10377117049975,-0.0773695802549881,1.30433280971106,25.8981656301614,NA
"gcc","lat","blocked","original fusion vs binary search",4.76394833281761,-0.173449046336296,-0.187562111153693,-0.159335981518898,0.35135455693126,NA,4194304
"gcc","tput","blocked","original fusion vs binary search",11.9651293494069,-0.457734610881204,-0.489390692577966,-0.426078529184442,0.687937732166158,NA,16777216
"clang","lat","shuffled","original fusion vs binary search",2.05642504453105,-0.0459408493774512,-0.0616358199633218,-0.0302458787915806,0.544169141731007,NA,4194304
"gcc","lat","shuffled","original fusion vs binary search",4.91144401007149,-0.175700860881751,-0.192497365387886,-0.158904356375615,0.400572348927996,NA,4194304
