"compiler","mode","order","comparison","n","ratio","lo","hi"
"gcc","lat","shuffled","Exp 4: 16-key fusion vs 8-key fusion",2048,0.988007455501436,0.968327109331423,0.989555843769978
"clang","tput","shuffled","Exp 4: 16-key fusion vs 8-key fusion",2048,0.867363402342192,0.866303156608756,0.868826596698662
"gcc","tput","shuffled","Exp 4: 16-key fusion vs 8-key fusion",2048,0.923208625815584,0.914131561519192,0.942425557353755
"gcc","lat","blocked","Exp 4: 16-key fusion vs best B-tree",2048,2.23532494559872,2.22615608851199,2.23803065186502
"gcc","tput","blocked","Exp 4: 16-key fusion vs best B-tree",2048,2.26251608751609,2.24564395411464,3.78509877536426
"clang","lat","shuffled","Exp 4: 16-key fusion vs best B-tree",2048,1.85564819044719,1.85533515953348,1.87634299549571
"gcc","lat","shuffled","Exp 4: 16-key fusion vs best B-tree",2048,2.24054460072578,2.23080575507036,2.24085546781979
"clang","tput","shuffled","Exp 4: 16-key fusion vs best B-tree",2048,3.59369442939242,3.55988099105218,3.60249826822877
"gcc","tput","shuffled","Exp 4: 16-key fusion vs best B-tree",2048,2.32392437413551,2.31640247350468,2.34307992202729
"gcc","lat","blocked","original fusion vs binary search",2048,3.16139636363636,3.14601888240355,3.16187418574353
"gcc","tput","blocked","original fusion vs binary search",2048,7.81906719222098,7.79124856815578,8.39660652591171
"clang","lat","shuffled","original fusion vs binary search",2048,1.44945084544377,1.43303667569828,1.45389637249789
"gcc","lat","shuffled","original fusion vs binary search",2048,3.23442046873639,3.19058397464916,3.23832748157277
"clang","tput","shuffled","original fusion vs binary search",2048,1.3639264070029,1.36363887036694,1.37665445300232
"gcc","tput","shuffled","original fusion vs binary search",2048,7.95183552701816,7.91267484266084,8.12811556903657
"gcc","lat","blocked","original fusion vs branch-free B-tree",2048,1.51608279277822,1.50825122981089,1.51628422254034
"gcc","tput","blocked","original fusion vs branch-free B-tree",2048,2.09736663583102,2.09315530811583,2.24500361283542
"clang","lat","shuffled","original fusion vs branch-free B-tree",2048,1.44883811632676,1.43633132708535,1.44991788136483
"gcc","lat","shuffled","original fusion vs branch-free B-tree",2048,1.53833871110325,1.51728858467653,1.54241422464394
"clang","tput","shuffled","original fusion vs branch-free B-tree",2048,2.18851733543606,2.1506576164676,2.19003789490749
"gcc","tput","shuffled","original fusion vs branch-free B-tree",2048,2.12457289235028,2.12138029807994,2.16958696069973
"gcc","lat","blocked","branch-free rank vs original rank",4096,1.09623318578366,1.09370303416986,1.10174380303608
"gcc","tput","blocked","branch-free rank vs original rank",4096,1.09377466817098,1.07141542604198,1.11496328047197
"clang","lat","shuffled","branch-free rank vs original rank",4096,1.04266783939195,1.04103667767058,1.06086682989866
"gcc","lat","shuffled","branch-free rank vs original rank",4096,1.09034675455435,1.08691379971841,1.09926579331951
"clang","tput","shuffled","branch-free rank vs original rank",4096,1.0149614361534,1.01161307491019,1.01596767953388
"gcc","tput","shuffled","branch-free rank vs original rank",4096,1.06852686328238,1.05959510982103,1.07212327261041
