"candidate","mode","keys","n","sessions","candidate_ns","best_splus_ns","ratio_median","ratio_min","ratio_max","beats_splus"
"clusterjump","tput","osm",1024,3,9.6527,4.4342,2.1741238554869,2.17090230298669,2.26627477094767,FALSE
"clusterjump","tput","osm",2048,3,9.6222,4.4418,2.20767621318815,2.13159079652393,2.208750344321,FALSE
"clusterjump","tput","osm",4096,3,10.0067,4.4281,2.25981798062374,2.2105430946146,2.26160432122285,FALSE
"clusterjump","tput","osm",8192,3,9.8236,5.835,1.6835646958012,1.67705054698266,1.69931298373772,FALSE
"clusterjump","tput","osm",16384,3,9.9045,5.9799,1.65629860031104,1.64579285857842,1.66465161728416,FALSE
"clusterjump","tput","osm",32768,3,10.1791,6.2424,1.63063885684993,1.62726176115802,1.63528391709065,FALSE
"clusterjump","tput","osm",65536,3,10.4935,8.0078,1.33479857139289,1.30941239596202,1.33639672895998,FALSE
"clusterjump","tput","osm",131072,3,10.9039,9.6848,1.12587766396828,1.10955222478034,1.18489477666773,FALSE
"clusterjump","tput","osm",262144,3,13.2248,14.1068,0.937476961465393,0.844303117668673,1.10940067045897,FALSE
"clusterjump","tput","osm",524288,3,19.1086,24.5499,0.77835754931792,0.70124850940333,0.893743405781811,TRUE
"clusterjump","tput","osm",1048576,3,27.4887,43.663,0.640082966399544,0.629565077983648,0.654166176776492,TRUE
"clusterjump","tput","osm",2097152,3,34.906,54.4632,0.642307420481556,0.63472147971968,0.646625611422024,TRUE
"clusterjump","tput","osm",4194304,3,42.8253,66.0583,0.649015394711574,0.648295520774831,0.649763795510884,TRUE
"clusterjump","tput","osm",8388608,3,50.3754,78.511,0.640118698759105,0.611938856768588,0.641634930137178,TRUE
"clusterjump","tput","osm",16777216,3,58.6456,96.3654,0.608575277018515,0.60057995929718,0.625836011909569,TRUE
"clusterjump","tput","osm",33554432,3,65.9241,108.8318,0.601878379192664,0.600639702733944,0.609951721562063,TRUE
"clusterjump","tput","wiki",256,3,5.9784,2.8168,2.12240840670264,1.66506820119352,2.3524011299435,FALSE
"clusterjump","tput","wiki",512,3,3.8834,2.8458,1.34943359510737,1.26851330423765,1.93509733642561,FALSE
"clusterjump","tput","wiki",1024,3,3.9246,4.2923,0.901191761004845,0.767863383267712,0.968089855957892,TRUE
"clusterjump","tput","wiki",2048,3,3.7247,4.3594,0.859810710987996,0.834793778960407,0.941047386106476,TRUE
"clusterjump","tput","wiki",4096,3,3.7689,4.4098,0.845594669179511,0.828277976027084,0.867476983083133,TRUE
"clusterjump","tput","wiki",8192,3,3.8986,5.7907,0.667853543836077,0.632669625433885,0.676640574830345,TRUE
"clusterjump","tput","wiki",16384,3,4.0176,5.9464,0.677466789205447,0.652041571370914,0.684779273904892,TRUE
"clusterjump","tput","wiki",32768,3,4.2633,6.0898,0.679283391901212,0.67865329512894,0.701493027610335,TRUE
"clusterjump","tput","wiki",65536,3,4.6692,7.8522,0.584053997047037,0.583856250079875,0.594635898219607,TRUE
"clusterjump","tput","wiki",131072,3,5.249,9.3338,0.559589877648975,0.536405906698687,0.573593191824071,TRUE
"clusterjump","tput","wiki",262144,3,6.6208,10.9833,0.590810756073536,0.560480841472577,0.602806078318902,TRUE
"clusterjump","tput","wiki",524288,3,13.2416,24.4034,0.542612914593868,0.48137111484351,0.60618305111869,TRUE
"clusterjump","tput","wiki",1048576,3,22.5586,43.1061,0.526159149696437,0.509166916051325,0.543541440928541,TRUE
"clusterjump","tput","wiki",2097152,3,28.4897,53.5538,0.531982791137137,0.521192392465009,0.550472263868066,TRUE
"clusterjump","tput","wiki",4194304,3,35.5103,65.4205,0.542800804029318,0.535646248085758,0.547818115144848,TRUE
"clusterjump","tput","wiki",8388608,3,39.7522,79.4525,0.499379031288811,0.495755325508952,0.515605442935688,TRUE
"clusterjump","tput","wiki",16777216,3,42.6544,91.507,0.464148097959719,0.458611046645335,0.470099156994718,TRUE
"clusterjump","tput","wiki",33554432,3,45.5658,106.1081,0.429854683083843,0.427070129424615,0.430824739620593,TRUE
"spline32","lat","books",256,3,23.8617,12.6617,1.88515760126997,1.8827284203882,1.89016722084907,FALSE
"spline32","lat","books",512,3,23.9807,15.8127,1.51696575907591,1.51274885821705,1.51770412390041,FALSE
"spline32","lat","books",1024,3,23.8571,17.7979,1.34296818210437,1.34044465920137,1.35024633585942,FALSE
"spline32","lat","books",2048,3,23.9868,17.868,1.34526527871054,1.34060639932933,1.34877497689174,FALSE
"spline32","lat","books",4096,3,24.0677,17.9077,1.34290489644861,1.34148893539338,1.34398610653518,FALSE
"spline32","lat","books",8192,3,24.6857,23.6176,1.04604850118449,1.04522474764582,1.04867525314724,FALSE
"spline32","lat","books",16384,3,31.2271,24.2477,1.28751787252102,1.28620113654487,1.28783760934027,FALSE
"spline32","lat","books",32768,3,31.9275,25.3769,1.2563354353531,1.25390807023972,1.25813239599794,FALSE
"spline32","lat","books",65536,3,33.1879,27.3132,1.21508647833282,1.21267609750395,1.21991294885745,FALSE
"spline32","lat","books",131072,3,35.141,35.8307,0.980751143572411,0.950957101260367,0.988305209734091,TRUE
"spline32","lat","books",262144,3,38.8504,46.8842,0.852988034446038,0.828645897765132,0.939122516385936,TRUE
"spline32","lat","books",524288,3,54.7394,59.7672,0.878781338259112,0.865463433327569,0.929282743400391,TRUE
"spline32","lat","books",1048576,3,79.2023,107.2113,0.758404198064943,0.690545331835601,0.779205843087061,TRUE
"spline32","lat","books",2097152,3,113.3209,149.8383,0.755556986041469,0.74994159740527,0.785453385416145,TRUE
"spline32","lat","books",4194304,3,154.2053,186.4807,0.826923644109015,0.826090090782828,0.832373648056678,TRUE
"spline32","lat","books",8388608,3,189.7064,222.3969,0.862565980011412,0.843940336252224,0.866836159327976,TRUE
"spline32","lat","books",16777216,3,222.5708,263.7695,0.828946485473112,0.82884294130586,0.850236386028929,TRUE
"spline32","lat","books",33554432,3,280.5237,317.7094,0.876436899218897,0.874016404687581,0.900107456688408,TRUE
"spline32","lat","fb",256,3,23.9288,12.674,1.88881464007665,1.88802272368629,1.89157025575508,FALSE
"spline32","lat","fb",512,3,23.9471,15.8691,1.5090395800644,1.50657183785278,1.51129276220513,FALSE
"spline32","lat","fb",1024,3,24.0219,17.9047,1.34352991114065,1.34062751138495,1.34747731355923,FALSE
"spline32","lat","fb",2048,3,23.996,17.836,1.34536891679749,1.34195654903931,1.34646030830566,FALSE
"spline32","lat","fb",4096,3,24.0082,17.9138,1.34020699125814,1.33480443599853,1.34096396964103,FALSE
