structure,n,levels_mean,levels_modal_share,lines_per_query,bytes_per_query,l0_mpq,l1_mpq,l2_mpq,l3_mpq,stlb_mpq
btree8_a64,1048576,6.987,0.9871,13.97,348.3,8.507,7.108,4.077,0.005,1.864
btree8_bl_a64,1048576,6.987,0.9871,13.97,552.7,8.507,7.108,4.077,0.005,1.864
btree16_bl_a64,1048576,5.000,1.0000,18.76,718.5,10.246,8.028,3.239,0.000,1.025
fusion8,1048576,6.987,0.9871,23.83,422.3,15.635,13.180,7.907,0.373,2.138
fusion8_bf,1048576,6.987,0.9871,23.83,422.3,15.635,13.180,7.907,0.373,2.138
fusion8_c,1048576,6.987,0.9871,13.97,268.5,8.507,7.108,4.077,0.005,1.864
fusion16_w,1048576,5.000,1.0000,21.61,306.0,12.107,10.312,4.324,0.000,1.220
sorted_array,2097152,0.000,1.0000,18.00,184.0,15.975,15.326,13.004,0.000,4.906
btree8,2097152,7.000,1.0000,16.16,359.9,10.083,8.417,4.748,0.002,1.847
btree8_bl,2097152,7.000,1.0000,16.54,555.6,10.508,8.848,5.216,0.009,1.847
btree8_a64,2097152,7.000,1.0000,14.00,359.9,8.498,7.134,4.112,0.003,1.887
btree8_bl_a64,2097152,7.000,1.0000,14.00,555.6,8.498,7.134,4.112,0.003,1.887
btree16_bl_a64,2097152,5.649,0.6485,21.63,811.3,13.332,11.544,6.824,0.443,2.028
fusion8,2097152,7.000,1.0000,23.73,423.0,15.868,13.470,8.221,0.471,2.145
fusion8_bf,2097152,7.000,1.0000,23.73,423.0,15.868,13.470,8.221,0.471,2.145
fusion8_c,2097152,7.000,1.0000,14.00,269.0,8.498,7.134,4.112,0.003,1.887
fusion16_w,2097152,5.649,0.6485,24.31,347.6,15.148,13.093,7.800,1.348,2.099
sorted_array,4194304,0.000,1.0000,19.00,192.0,18.991,16.431,15.210,0.662,8.069
btree8,4194304,7.000,1.0000,16.36,377.7,10.293,8.629,4.979,0.005,1.846
btree8_bl,4194304,7.000,1.0000,16.54,556.6,10.503,8.843,5.210,0.009,1.846
btree8_a64,4194304,7.000,1.0000,14.00,377.7,8.490,7.137,4.115,0.002,1.888
btree8_bl_a64,4194304,7.000,1.0000,14.00,556.6,8.490,7.137,4.115,0.002,1.888
btree16_bl_a64,4194304,6.000,1.0000,22.71,860.9,14.451,12.675,8.038,1.741,2.496
fusion8,4194304,7.000,1.0000,23.90,423.0,16.044,13.655,8.423,0.596,2.144
fusion8_bf,4194304,7.000,1.0000,23.90,423.0,16.044,13.655,8.423,0.596,2.144
fusion8_c,4194304,7.000,1.0000,14.00,269.0,8.490,7.137,4.115,0.002,1.888
fusion16_w,4194304,6.000,1.0000,25.39,368.0,16.334,14.353,9.098,3.350,2.651
sorted_array,8388608,0.000,1.0000,20.00,200.0,19.996,17.601,16.934,6.959,10.337
btree8,8388608,7.860,0.8602,18.16,400.2,12.402,10.771,7.166,0.710,2.896
btree8_bl,8388608,7.860,0.8602,18.58,623.4,12.865,11.247,7.659,1.139,2.896
btree8_a64,8388608,7.860,0.8602,15.72,400.2,10.385,9.052,6.171,0.364,2.890
btree8_bl_a64,8388608,7.860,0.8602,15.72,623.4,10.385,9.052,6.171,0.364,2.890
btree16_bl_a64,8388608,6.000,1.0000,22.71,862.3,14.439,12.666,8.043,1.767,2.493
fusion8,8388608,7.860,0.8602,26.93,476.0,18.984,16.727,11.556,5.255,3.164
