"compiler","mode","order","comparison","n","ratio","lo","hi"
"gcc","tput","shuffled","Exp 4: 16-key fusion vs 16-key B-tree",256,5.84305947787095,5.54914230876884,5.86038815848314
"gcc","lat","blocked","Exp 4: 16-key fusion vs 8-key fusion",256,0.891879145515583,0.869995345053767,0.903123248929217
"gcc","tput","blocked","Exp 4: 16-key fusion vs 8-key fusion",256,0.734068411878528,0.698505371960745,0.747554344007756
"clang","lat","shuffled","Exp 4: 16-key fusion vs 8-key fusion",256,0.872816678347456,0.854096865439012,0.904152208294974
"gcc","lat","shuffled","Exp 4: 16-key fusion vs 8-key fusion",256,0.887170536998433,0.853832150428611,0.898726696010886
"clang","tput","shuffled","Exp 4: 16-key fusion vs 8-key fusion",256,0.70077367302716,0.666638647515577,0.723353205149202
"gcc","tput","shuffled","Exp 4: 16-key fusion vs 8-key fusion",256,0.738590128075829,0.701359100676205,0.757678341304962
"gcc","lat","blocked","Exp 4: 16-key fusion vs best B-tree",256,2.73884723223013,2.71608707778577,2.75752836215442
"gcc","tput","blocked","Exp 4: 16-key fusion vs best B-tree",256,6.11901913875598,6.00071898557671,6.29726463261229
"clang","lat","shuffled","Exp 4: 16-key fusion vs best B-tree",256,2.51833395704897,2.51019992670711,2.5455814231692
"gcc","lat","shuffled","Exp 4: 16-key fusion vs best B-tree",256,2.72536629646965,2.70923847475597,2.75467852916685
"clang","tput","shuffled","Exp 4: 16-key fusion vs best B-tree",256,5.55739870816207,5.19604172760066,5.60947791874807
"gcc","tput","shuffled","Exp 4: 16-key fusion vs best B-tree",256,5.84305947787095,5.54914230876884,5.86038815848314
"gcc","lat","blocked","original fusion vs binary search",256,3.00681524421292,3.00107026233145,3.01468408587363
"gcc","tput","blocked","original fusion vs binary search",256,7.92796777873489,7.72193157090606,7.94914951161179
"clang","lat","shuffled","original fusion vs binary search",256,1.79363005271619,1.73268672260654,1.80298889572971
"gcc","lat","shuffled","original fusion vs binary search",256,3.06555976262709,3.04466116685713,3.07000107035276
"clang","tput","shuffled","original fusion vs binary search",256,1.62168251826572,1.58635799251622,1.64129484984664
"gcc","tput","shuffled","original fusion vs binary search",256,8.00638087120776,7.99683907373153,8.02554948120049
"gcc","lat","blocked","original fusion vs branch-free B-tree",256,1.81511739162435,1.79418619314281,1.82852583188433
"gcc","tput","blocked","original fusion vs branch-free B-tree",256,2.73910364533993,2.63046903967371,2.78094856980884
"clang","lat","shuffled","original fusion vs branch-free B-tree",256,1.67186362076326,1.63210282218669,1.7087524137352
"gcc","lat","shuffled","original fusion vs branch-free B-tree",256,1.83706801108966,1.75474557921328,1.8462657041552
"clang","tput","shuffled","original fusion vs branch-free B-tree",256,2.55031169605647,2.54123333423847,2.72961771160804
"gcc","tput","shuffled","original fusion vs branch-free B-tree",256,2.69844544813409,2.64460829072316,2.80523203285421
"gcc","lat","blocked","branch-free rank vs original rank",512,1.12657116129096,1.10407369718842,1.13663773634018
