"compiler","mode","order","structure","n","median_ns","min_ns","max_ns","sessions"
"gcc","lat","shuffled","btree8_bl",512,26.7914,26.7426,26.8448,3
"clang","tput","shuffled","btree8_bl",512,12.4084,11.9263,12.6434,3
"gcc","tput","shuffled","btree8_bl",512,15.5807,15.4953,15.6525,3
"gcc","lat","blocked","btree8_bl_a64",512,24.0082,24.0005,24.0387,3
"gcc","tput","blocked","btree8_bl_a64",512,14.7354,14.2685,14.7781,3
"clang","lat","shuffled","btree8_bl_a64",512,27.4399,26.8784,27.4857,3
"gcc","lat","shuffled","btree8_bl_a64",512,24.1089,24.0967,24.1898,3
"clang","tput","shuffled","btree8_bl_a64",512,11.7081,11.3235,12.0041,3
"gcc","tput","shuffled","btree8_bl_a64",512,14.6484,14.5828,14.8499,3
"gcc","lat","blocked","fusion16_w",512,51.3504,50.473,51.7593,3
"gcc","tput","blocked","fusion16_w",512,43.2098,41.8945,43.3136,3
"clang","lat","shuffled","fusion16_w",512,50.4547,48.6496,50.8453,3
"gcc","lat","shuffled","fusion16_w",512,51.6785,50.8713,52.0905,3
"clang","tput","shuffled","fusion16_w",512,41.4261,40.6021,41.803,3
"gcc","tput","shuffled","fusion16_w",512,43.5486,43.28,43.7149,3
"gcc","lat","blocked","fusion8",512,39.1541,38.9999,39.4562,3
"gcc","tput","blocked","fusion8",512,33.9096,33.7875,34.1827,3
"clang","lat","shuffled","fusion8",512,41.5588,41.1011,41.6183,3
"gcc","lat","shuffled","fusion8",512,39.5828,39.4211,39.9933,3
"clang","tput","shuffled","fusion8",512,36.9568,36.9431,37.1689,3
"gcc","tput","shuffled","fusion8",512,34.6695,34.3948,35.1059,3
"gcc","lat","blocked","fusion8_bf",512,44.0826,43.0054,44.1055,3
"gcc","tput","blocked","fusion8_bf",512,37.4832,37.3032,38.3041,3
"clang","lat","shuffled","fusion8_bf",512,44.1147,43.9255,44.9432,3
"gcc","lat","shuffled","fusion8_bf",512,44.3176,43.428,44.4962,3
"clang","tput","shuffled","fusion8_bf",512,38.6414,38.446,39.4623,3
"gcc","tput","shuffled","fusion8_bf",512,38.2217,37.2086,38.2507,3
"gcc","lat","blocked","fusion8_c",512,43.5104,42.3691,43.5867,3
"gcc","tput","blocked","fusion8_c",512,37.1017,36.171,37.6846,3
"clang","lat","shuffled","fusion8_c",512,42.749,42.4103,43.4753,3
"gcc","lat","shuffled","fusion8_c",512,43.6691,42.5415,43.7164,3
"clang","tput","shuffled","fusion8_c",512,37.2482,36.8118,37.9471,3
"gcc","tput","shuffled","fusion8_c",512,37.2696,36.6074,37.4695,3
"gcc","lat","blocked","sorted_array",512,14.3707,14.3631,14.3768,3
"gcc","tput","blocked","sorted_array",512,5.0262,4.921,5.0552,3
"clang","lat","shuffled","sorted_array",512,29.0543,28.9948,29.3884,3
"gcc","lat","shuffled","sorted_array",512,14.3753,14.357,14.3967,3
"clang","tput","shuffled","sorted_array",512,30.0171,29.9896,30.0766,3
"gcc","tput","shuffled","sorted_array",512,5.0369,5.0278,5.043,3
"gcc","lat","blocked","btree16_bl_a64",1024,26.7715,26.6815,26.8692,3
"gcc","tput","blocked","btree16_bl_a64",1024,22.6486,22.5967,22.8821,3
"clang","lat","shuffled","btree16_bl_a64",1024,31.9,31.3766,32.1259,3
"gcc","lat","shuffled","btree16_bl_a64",1024,26.9211,26.9043,27.1545,3
"clang","tput","shuffled","btree16_bl_a64",1024,16.4444,16.3696,17.5903,3
"gcc","tput","shuffled","btree16_bl_a64",1024,22.5952,22.2977,22.937,3
"gcc","lat","blocked","btree8",1024,26.3397,26.236,26.442,3
"gcc","tput","blocked","btree8",1024,26.0391,25.9674,26.1032,3
"clang","lat","shuffled","btree8",1024,28.5767,28.3859,28.9093,3
"gcc","lat","shuffled","btree8",1024,26.8707,26.6312,26.9348,3
"clang","tput","shuffled","btree8",1024,28.392,28.2089,28.6942,3
"gcc","tput","shuffled","btree8",1024,26.6418,26.1093,26.6449,3
"gcc","lat","blocked","btree8_a64",1024,25.6409,25.6104,26.0513,3
"gcc","tput","blocked","btree8_a64",1024,25.4974,25.1221,25.5569,3
"clang","lat","shuffled","btree8_a64",1024,27.0096,26.0605,27.1515,3
"gcc","lat","shuffled","btree8_a64",1024,26.3794,26.3397,26.4053,3
"clang","tput","shuffled","btree8_a64",1024,28.3173,27.9388,29.4083,3
"gcc","tput","shuffled","btree8_a64",1024,26.088,25.3082,26.0895,3
"gcc","lat","blocked","btree8_bl",1024,33.3572,33.075,33.3725,3
"gcc","tput","blocked","btree8_bl",1024,23.1079,23.0484,23.1522,3
"clang","lat","shuffled","btree8_bl",1024,35.8414,35.4004,36.2488,3
"gcc","lat","shuffled","btree8_bl",1024,33.3191,33.197,33.4244,3
"clang","tput","shuffled","btree8_bl",1024,28.5538,28.3035,28.6728,3
"gcc","tput","shuffled","btree8_bl",1024,23.4207,23.2269,23.732,3
"gcc","lat","blocked","btree8_bl_a64",1024,30.806,30.7663,30.9387,3
"gcc","tput","blocked","btree8_bl_a64",1024,22.4838,22.4304,22.5342,3
"clang","lat","shuffled","btree8_bl_a64",1024,33.7875,33.2504,33.9096,3
"gcc","lat","shuffled","btree8_bl_a64",1024,30.8624,30.8609,30.9464,3
"clang","tput","shuffled","btree8_bl_a64",1024,26.7197,26.4145,26.8799,3
"gcc","tput","shuffled","btree8_bl_a64",1024,22.1451,21.9452,22.287,3
"gcc","lat","blocked","fusion16_w",1024,55.899,55.7083,56.0287,3
"gcc","tput","blocked","fusion16_w",1024,47.0001,46.6843,57.6263,3
"clang","lat","shuffled","fusion16_w",1024,54.9805,54.3365,55.4962,3
"gcc","lat","shuffled","fusion16_w",1024,56.4194,56.311,56.488,3
"clang","tput","shuffled","fusion16_w",1024,46.0175,44.7205,47.0078,3
"gcc","tput","shuffled","fusion16_w",1024,47.9858,46.933,49.5102,3
"gcc","lat","blocked","fusion8",1024,46.4401,46.4279,46.7499,3
"gcc","tput","blocked","fusion8",1024,43.0618,43.0176,43.2587,3
"clang","lat","shuffled","fusion8",1024,49.4476,48.5794,50.0885,3
"gcc","lat","shuffled","fusion8",1024,49.1257,48.0713,49.3759,3
"clang","tput","shuffled","fusion8",1024,45.7642,45.047,46.1349,3
"gcc","tput","shuffled","fusion8",1024,44.3863,43.6188,44.6075,3
"gcc","lat","blocked","fusion8_bf",1024,53.1113,52.6779,53.215,3
