"compiler","mode","order","structure","n","median_ns","min_ns","max_ns","sessions"
"gcc","lat","shuffled","btree8",8192,37.3169,37.3138,37.7686,3
"clang","tput","shuffled","btree8",8192,39.7339,38.9709,39.9796,3
"gcc","tput","shuffled","btree8",8192,37.3016,36.8683,37.4008,3
"gcc","lat","blocked","btree8_a64",8192,36.0306,35.8521,36.3525,3
"gcc","tput","blocked","btree8_a64",8192,35.759,35.7224,36.5387,3
"clang","lat","shuffled","btree8_a64",8192,38.0875,37.5824,38.4247,3
"gcc","lat","shuffled","btree8_a64",8192,36.9904,36.8301,37.3779,3
"clang","tput","shuffled","btree8_a64",8192,39.6912,39.0457,39.9979,3
"gcc","tput","shuffled","btree8_a64",8192,36.7279,36.1069,37.0956,3
"gcc","lat","blocked","btree8_bl",8192,40.7913,40.1886,40.8676,3
"gcc","tput","blocked","btree8_bl",8192,28.9047,28.7323,29.0863,3
"clang","lat","shuffled","btree8_bl",8192,44.5633,44.3527,45.0165,3
"gcc","lat","shuffled","btree8_bl",8192,42.1494,42.0914,42.1509,3
"clang","tput","shuffled","btree8_bl",8192,29.5593,28.4943,29.7577,3
"gcc","tput","shuffled","btree8_bl",8192,29.9362,29.483,30.3879,3
"gcc","lat","blocked","btree8_bl_a64",8192,37.8098,37.6694,38.7619,3
"gcc","tput","blocked","btree8_bl_a64",8192,28.8162,27.092,29.1199,3
"clang","lat","shuffled","btree8_bl_a64",8192,42.305,41.4078,42.3584,3
"gcc","lat","shuffled","btree8_bl_a64",8192,38.8245,38.6627,39.0961,3
"clang","tput","shuffled","btree8_bl_a64",8192,27.6871,27.1103,27.8915,3
"gcc","tput","shuffled","btree8_bl_a64",8192,28.3218,27.8061,29.2358,3
"gcc","lat","blocked","fusion16_w",8192,76.918,75.7935,77.5589,3
"gcc","tput","blocked","fusion16_w",8192,67.9291,67.9047,68.2602,3
"clang","lat","shuffled","fusion16_w",8192,74.9603,73.5428,75.1328,3
"gcc","lat","shuffled","fusion16_w",8192,78.4454,77.8305,78.9627,3
"clang","tput","shuffled","fusion16_w",8192,66.3376,65.0269,67.8421,3
"gcc","tput","shuffled","fusion16_w",8192,69.9738,68.7836,70.784,3
"gcc","lat","blocked","fusion8",8192,63.4476,63.0325,63.71,3
"gcc","tput","blocked","fusion8",8192,58.168,57.4326,58.2199,3
"clang","lat","shuffled","fusion8",8192,67.4057,66.3101,67.598,3
"gcc","lat","shuffled","fusion8",8192,65.9805,65.5579,66.0461,3
"clang","tput","shuffled","fusion8",8192,63.4796,62.207,63.9816,3
"gcc","tput","shuffled","fusion8",8192,61.3144,60.0372,62.3398,3
"gcc","lat","blocked","fusion8_bf",8192,70.8328,70.6711,71.0205,3
"gcc","tput","blocked","fusion8_bf",8192,65.6738,65.3717,65.6906,3
"clang","lat","shuffled","fusion8_bf",8192,71.936,70.784,72.0612,3
"gcc","lat","shuffled","fusion8_bf",8192,72.6166,72.3465,73.0011,3
"clang","tput","shuffled","fusion8_bf",8192,67.0532,65.8386,67.8024,3
"gcc","tput","shuffled","fusion8_bf",8192,67.3859,66.5054,69.0994,3
"gcc","lat","blocked","fusion8_c",8192,67.4301,67.099,69.5282,3
"gcc","tput","blocked","fusion8_c",8192,62.851,62.6923,63.0707,3
"clang","lat","shuffled","fusion8_c",8192,67.9672,66.5741,68.013,3
"gcc","lat","shuffled","fusion8_c",8192,69.6747,68.9621,69.7144,3
"clang","tput","shuffled","fusion8_c",8192,63.9526,62.3505,64.2014,3
"gcc","tput","shuffled","fusion8_c",8192,64.592,64.5172,66.4658,3
